station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,report_time
KPTW,40.22,-75.55,92.0,2025-12-14 01:54:00,0.0,0.0,,12874.752,,,,OVC,6000.0,,,,,,,8,0.0,-3.0,30.04,0,0,0,AO2 SLP172 T00001033,1018.18,-0.0,-0.0,2025-12-14 01:54:00
KVAY,39.93,-74.83,15.0,2025-12-14 01:54:00,0.0,0.0,,16093.44,,,,OVC,8500.0,,,,,,,8,2.0,-3.0,30.04,0,0,0,AO2 SLP173 T00171028,1017.66,-0.0,-0.0,2025-12-14 01:54:00
KWRI,40.02,-74.58,41.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,SCT,8000.0,,,,,,,4,2.0,-3.0,30.03,0,0,0,AO2A UPB01E12 SLP170 P0000 T00241029 $,1017.47,-0.0,-0.0,2025-12-14 01:55:00
KBLM,40.17,-74.12,48.0,2025-12-14 01:56:00,0.0,0.0,,16093.44,,,,FEW,4200.0,OVC,8000.0,,,,,8,2.0,-1.0,30.04,0,0,0,AO2 RAE20UPB36E45SNB20E36 SLP176 P0000 T00171011 FZRANO,1017.84,-0.0,-0.0,2025-12-14 01:56:00
KJRB,40.7,-74.02,7.0,2025-12-14 01:56:00,250.0,5.0,,16093.44,,,,FEW,5000.0,SCT,7500.0,OVC,10000.0,,,8,4.0,-2.0,30.04,0,0,0,AO2 SLP173 T00391022,1017.61,4.698463103929543,1.7101007166283426,2025-12-14 01:56:00
KMJX,39.93,-74.3,25.0,2025-12-14 01:56:00,0.0,0.0,,16093.44,-RA,,,OVC,4100.0,,,,,,,8,3.0,-2.0,30.05,61,0,0,AO2 UPB35E38 SLP179 P0000 T00281022 $,1018.04,-0.0,-0.0,2025-12-14 01:56:00
KN40,40.57,-74.98,171.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,BKN,4600.0,OVC,6000.0,,,,,8,-0.0,-4.0,30.0,0,0,0,AO2 T10001041 $,1017.31,-0.0,-0.0,2025-12-14 01:55:00
KUKT,40.43,-75.38,160.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,-UP,,,FEW,2800.0,SCT,3400.0,,,,,4,0.0,-3.0,30.02,141,0,0,AO2,1017.93,-0.0,-0.0,2025-12-14 01:55:00
KWWD,39.02,-74.92,7.0,2025-12-14 01:56:00,120.0,3.0,,16093.44,,,,SCT,7500.0,OVC,10000.0,,,,,8,3.0,1.0,30.04,0,0,0,AO2 SLP174 T00330006 $,1017.61,-2.598076211353316,1.4999999999999996,2025-12-14 01:56:00
KMPO,41.13,-75.38,577.0,2025-12-14 01:55:00,250.0,5.0,,4828.032,-SN,BR,,FEW,600.0,OVC,2000.0,,,,,8,-3.0,-4.0,29.92,71,10,0,AO2 P0000 T10281044,1017.66,4.698463103929543,1.7101007166283426,2025-12-14 01:55:00
KXLL,40.57,-75.48,122.0,2025-12-14 01:55:00,220.0,3.0,,4828.032,-SN,,,BKN,2000.0,BKN,2900.0,BKN,3500.0,,,6,1.0,-1.0,30.04,71,0,0,AO2 TSNO,1018.31,1.9283628290596178,2.298133329356934,2025-12-14 01:55:00
KLOM,40.13,-75.27,92.0,2025-12-14 01:55:00,0.0,0.0,,16093.44,,,,SCT,5500.0,BKN,7000.0,OVC,10000.0,,,8,0.0,-3.0,30.03,0,0,0,AO2 T00021030,1017.84,-0.0,-0.0,2025-12-14 01:55:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:06:00,250.0,5.0,,4023.36,-SN,BR,,FEW,600.0,SCT,1800.0,OVC,3500.0,,,8,-3.0,-4.0,29.91,71,10,0,AO2 P0000 T10281044,1017.32,4.698463103929543,1.7101007166283426,2025-12-14 02:06:00
KABE,40.65,-75.45,114.0,2025-12-14 02:08:00,240.0,4.0,,4828.032,-SN,BR,,OVC,2400.0,,,,,,,8,0.0,-2.0,30.01,71,10,0,AO2 P0000 T00001017,1017.3,3.4641016151377535,2.0000000000000018,2025-12-14 02:08:00
KFWN,41.2,-74.63,133.0,2025-12-14 02:11:00,0.0,0.0,,2011.68,-SN,,,OVC,1700.0,,,,,,,8,-1.0,-3.0,30.0,71,0,0,AO2 P0000 T10061033,1017.14,-0.0,-0.0,2025-12-14 02:11:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:11:00,260.0,7.0,,4828.032,-SN,BR,,FEW,600.0,BKN,1800.0,OVC,3700.0,,,8,-3.0,-4.0,29.91,71,10,0,AO2 P0000 T10281044,1017.32,6.893654271085456,1.2155372436685123,2025-12-14 02:11:00
KLDJ,40.61,-74.25,7.0,2025-12-14 02:15:00,0.0,0.0,,16093.44,,,,BKN,6000.0,BKN,8000.0,OVC,8500.0,,,8,3.0,-4.0,30.03,0,0,0,AO2 T00251039,1017.27,-0.0,-0.0,2025-12-14 02:15:00
KCKZ,40.38,-75.28,173.0,2025-12-14 02:15:00,0.0,0.0,,16093.44,,,,SCT,3500.0,BKN,4000.0,OVC,6000.0,,,8,-0.0,-3.0,30.02,0,0,0,AO2,1018.01,-0.0,-0.0,2025-12-14 02:15:00
KUKT,40.43,-75.38,160.0,2025-12-14 02:15:00,0.0,0.0,,14484.096000000001,-UP,,,CLR,,,,,,,,0,0.0,-2.0,30.02,141,0,0,AO2,1017.93,-0.0,-0.0,2025-12-14 02:15:00
KN40,40.57,-74.98,171.0,2025-12-14 02:15:00,0.0,0.0,,16093.44,,,,OVC,5500.0,,,,,,,8,-1.0,-3.0,30.0,0,0,0,AO2 T10081034 $,1017.39,-0.0,-0.0,2025-12-14 02:15:00
KXLL,40.57,-75.48,122.0,2025-12-14 02:15:00,0.0,0.0,,4023.36,-SN,,,OVC,1900.0,,,,,,,8,0.0,-1.0,30.03,71,0,0,AO2 TSNO,1018.03,-0.0,-0.0,2025-12-14 02:15:00
KLOM,40.13,-75.27,92.0,2025-12-14 02:15:00,0.0,0.0,,16093.44,,,,BKN,3800.0,OVC,5000.0,,,,,8,0.0,-3.0,30.03,0,0,0,AO2 T00021030,1017.84,-0.0,-0.0,2025-12-14 02:15:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:19:00,260.0,5.0,,6437.376,-SN,BR,,FEW,1800.0,OVC,3100.0,,,,,8,-3.0,-4.0,29.91,71,10,0,AO2 P0000 T10281044,1017.32,4.92403876506104,0.8682408883346516,2025-12-14 02:19:00
KABE,40.65,-75.45,114.0,2025-12-14 02:21:00,220.0,4.0,,4023.36,-SN,BR,,OVC,2200.0,,,,,,,8,0.0,-1.0,30.01,71,10,0,AO2 P0000 T00001011,1017.3,2.571150438746157,3.064177772475912,2025-12-14 02:21:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:22:00,250.0,6.0,,6437.376,-SN,BR,,FEW,600.0,FEW,1600.0,OVC,2900.0,,,8,-3.0,-4.0,29.91,71,10,0,AO2 P0000 T10281044,1017.32,5.638155724715451,2.0521208599540115,2025-12-14 02:22:00
KFWN,41.2,-74.63,133.0,2025-12-14 02:31:00,0.0,0.0,,2414.016,-SN,,,OVC,1900.0,,,,,,,8,-1.0,-3.0,29.99,71,0,0,AO2 P0001 T10061033,1016.8,-0.0,-0.0,2025-12-14 02:31:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:33:00,250.0,6.0,,3218.688,-SN,BR,,FEW,1600.0,OVC,2500.0,,,,,8,-3.0,-4.0,29.9,71,10,0,AO2 P0000 T10281044,1016.98,5.638155724715451,2.0521208599540115,2025-12-14 02:33:00
KLDJ,40.61,-74.25,7.0,2025-12-14 02:35:00,0.0,0.0,,16093.44,,,,SCT,4100.0,BKN,4800.0,OVC,6000.0,,,8,2.0,-4.0,30.03,0,0,0,AO2 T00241038,1017.27,-0.0,-0.0,2025-12-14 02:35:00
KUKT,40.43,-75.38,160.0,2025-12-14 02:35:00,0.0,0.0,,6437.376,-SN,,,CLR,,,,,,,,0,0.0,-2.0,30.01,71,0,0,AO2,1017.59,-0.0,-0.0,2025-12-14 02:35:00
KCKZ,40.38,-75.28,173.0,2025-12-14 02:35:00,290.0,3.0,,9656.064,-UP,,,SCT,2600.0,BKN,3000.0,OVC,3800.0,,,8,0.0,-2.0,30.01,141,0,0,AO2,1017.67,2.819077862357725,-1.026060429977007,2025-12-14 02:35:00
KN40,40.57,-74.98,171.0,2025-12-14 02:35:00,0.0,0.0,,11265.408,UP,,,BKN,3900.0,OVC,5500.0,,,,,8,-1.0,-4.0,30.0,141,0,0,AO2 UPB0228 P0000 T10061037 $,1017.39,-0.0,-0.0,2025-12-14 02:35:00
KXLL,40.57,-75.48,122.0,2025-12-14 02:35:00,190.0,3.0,,4023.36,-SN,,,BKN,900.0,OVC,1600.0,,,,,8,0.0,0.0,30.03,71,0,0,AO2 TSNO,1018.03,0.5209445330007914,2.954423259036624,2025-12-14 02:35:00
KLOM,40.13,-75.27,92.0,2025-12-14 02:35:00,0.0,0.0,,16093.44,,,,OVC,4000.0,,,,,,,8,0.0,-3.0,30.02,0,0,0,AO2 T00051030,1017.5,-0.0,-0.0,2025-12-14 02:35:00
KMPO,41.13,-75.38,577.0,2025-12-14 02:42:00,240.0,5.0,,4828.032,-SN,BR,,FEW,600.0,OVC,2500.0,,,,,8,-3.0,-4.0,29.9,71,10,0,AO2 P0000 T10281044,1016.98,4.330127018922192,2.500000000000002,2025-12-14 02:42:00
